beta,seed,mean_relevant_information,mean_roi_event_fraction,mean_roi_event_density,roi_empty_fraction,mean_total_event_mass,mean_roi_event_mass,n_fixations,unique_cells,revisit_fraction,consecutive_same_cell_fraction,mean_saccade_length_px,median_saccade_length_px,std_saccade_length_px
13,1,0.15786094541560383,0.17174032530194355,0.24547350226888678,0.0,4287.431372549019,689.3529411764706,50,18,0.64,0.14285714285714285,59.7538314032897,52.672517520443776,36.24333914841772
13,2,0.15491947116679894,0.16902166657217255,0.23753803627319414,0.0,4287.431372549019,664.0980392156863,50,17,0.6599999999999999,0.061224489795918366,62.01820171374674,66.37337114522475,35.94749860829013
13,3,0.15687304118996329,0.17093999178759778,0.24142555077672878,0.0,4287.431372549019,676.6274509803922,50,22,0.56,0.04081632653061224,61.52683692947991,65.72463728444038,32.38870694321074
13,4,0.15740738073200713,0.17104671125209364,0.24723054048960266,0.0,4287.431372549019,694.4705882352941,50,20,0.6,0.061224489795918366,62.142652442226556,65.48559284425332,28.88132177454202
14,0,0.15817948525705708,0.1721820110502791,0.24427274538262322,0.0,4287.431372549019,685.9803921568628,50,21,0.5800000000000001,0.04081632653061224,57.71243194827854,60.28634033254265,35.183450635424016
14,1,0.15508945145397499,0.16889476163032097,0.24055234548292567,0.0,4287.431372549019,675.5294117647059,50,15,0.7,0.061224489795918366,66.1493322930651,67.6943698277014,34.73709598083372
14,2,0.15377630156627836,0.16787260533688214,0.23413537718398134,0.0,4287.431372549019,657.6862745098039,50,21,0.5800000000000001,0.061224489795918366,58.870412479339976,66.81679374912757,37.274314675287755
14,3,0.16341318889823253,0.17767650611159475,0.2521457791406685,0.0,4287.431372549019,706.4901960784314,50,20,0.6,0.061224489795918366,55.96743361330148,59.02980499344997,33.472471894688184
14,4,0.16434018883282114,0.1784771477191012,0.25444823710901227,0.0,4287.431372549019,714.7450980392157,50,21,0.5800000000000001,0.061224489795918366,62.09599342812426,66.0316073087997,34.409702122720404
15,0,0.15846085666934692,0.17251011960389512,0.2442378435614462,0.0,4287.431372549019,685.8823529411765,50,18,0.64,0.04081632653061224,62.145007165906456,60.328872305001696,32.95569881446055
15,1,0.1574807119928069,0.17139740057297417,0.24427985998463234,0.0,4287.431372549019,686.0,50,20,0.6,0.10204081632653061,62.51511457109007,62.107940394223746,34.93566158187766
15,2,0.16202078083694474,0.17641210826912493,0.24789230936852882,0.0,4287.431372549019,694.4705882352941,50,18,0.64,0.04081632653061224,51.9638304860172,47.184338262610694,34.000887065199784
15,3,0.1598417209771408,0.17403054772367696,0.24595419606386357,0.0,4287.431372549019,689.0980392156863,50,18,0.64,0.061224489795918366,60.004182055786494,64.11683365722791,34.25139611484516
15,4,0.15807603936290088,0.1719779280316047,0.24486419701380013,0.0,4287.431372549019,687.8235294117648,50,21,0.5800000000000001,0.10204081632653061,62.631476292501794,68.18319676903815,30.937973065826192
16,0,0.16233264355667212,0.17642407145154407,0.25176965657144906,0.0,4287.431372549019,707.0392156862745,50,19,0.62,0.08163265306122448,55.514070757834155,54.617772270034855,31.314340930222112
16,1,0.15747440987129666,0.17150879237842817,0.2427651209455493,0.0,4287.431372549019,681.7450980392157,50,18,0.64,0.12244897959183673,65.98193383420401,68.64658604259665,40.538431241215086
16,2,0.16015995093780716,0.17443948207767476,0.24664614815336047,0.0,4287.431372549019,687.9607843137255,50,18,0.64,0.08163265306122448,57.30338361294571,47.2722072878683,36.60767988424815
16,3,0.16597452150358308,0.18042418756847062,0.2550286695698911,0.0,4287.431372549019,714.5882352941177,50,18,0.64,0.10204081632653061,61.33556171458308,66.3882334786337,35.64027032945415
16,4,0.16026507834727005,0.17422786030977103,0.24836833985997384,0.0,4287.431372549019,697.6666666666666,50,19,0.62,0.12244897959183673,59.04385289039659,65.38929711959852,32.878312545768
17,0,0.1549660877049654,0.16889652173577335,0.23890460839540717,0.0,4287.431372549019,670.7254901960785,50,21,0.5800000000000001,0.061224489795918366,57.853513017941225,55.54620884782037,33.27838685217337
17,1,0.16405679016860353,0.17824479428490417,0.2538848411725508,0.0,4287.431372549019,712.9803921568628,50,18,0.64,0.061224489795918366,61.933948300931185,53.63757531373715,35.84725997698546
17,2,0.15763915776276055,0.17172235039440217,0.24398858323307468,0.0,4287.431372549019,680.1764705882352,50,19,0.62,0.14285714285714285,58.48018271525817,51.36984080904112,38.04665858639915
17,3,0.15800025003430165,0.1720936583085292,0.24331561838288018,0.0,4287.431372549019,681.6862745098039,50,20,0.6,0.10204081632653061,62.623310459660516,68.48686310435579,36.11123076098311
17,4,0.15969365363646018,0.17367540649648391,0.24720959939689646,0.0,4287.431372549019,694.4117647058823,50,18,0.64,0.14285714285714285,59.26633182016835,66.88026938879625,34.67191821318372
18,0,0.15859747520328213,0.17281114870138137,0.24371846541134326,0.0,4287.431372549019,681.3725490196078,50,21,0.5800000000000001,0.061224489795918366,61.063073083345046,55.24677264547732,38.26148331701296
18,1,0.15139878109140134,0.16520868729975638,0.23331370777080987,0.0,4287.431372549019,655.1960784313726,50,20,0.6,0.1836734693877551,61.48820547016759,60.33668414183114,40.89450559743268
18,2,0.16101542895808138,0.17525462805423983,0.2490707971808635,0.0,4287.431372549019,693.8823529411765,50,17,0.6599999999999999,0.12244897959183673,62.91080419596208,63.41015744613131,41.704564683225264
18,3,0.166504205396767,0.18097653826730398,0.2557406667219025,0.0,4287.431372549019,716.5882352941177,50,16,0.6799999999999999,0.14285714285714285,59.03681589252082,64.03407331831787,36.96450147469326
18,4,0.15834270461851863,0.17232002793223988,0.2446338449940317,0.0,4287.431372549019,687.1764705882352,50,20,0.6,0.16326530612244897,60.21219950243505,69.94787249607549,34.925220558773276
19,0,0.16002432918325168,0.17421930994268806,0.24518529376862874,0.0,4287.431372549019,688.7254901960785,50,21,0.5800000000000001,0.061224489795918366,61.785349577657726,47.825752253258614,39.129919212370325
19,1,0.1513152937839227,0.1650721005213647,0.23376045108187582,0.0,4287.431372549019,656.4509803921569,50,19,0.62,0.14285714285714285,62.27568317286689,65.19873890689172,42.65629244733657
19,2,0.1561677354851492,0.1703376659108795,0.2403806092353561,0.0,4287.431372549019,669.4705882352941,50,18,0.64,0.10204081632653061,64.38648583408168,67.73262686273233,43.20046807544567
19,3,0.16247376053969856,0.17673514082424877,0.25012845387663624,0.0,4287.431372549019,700.8235294117648,50,19,0.62,0.10204081632653061,59.67962368565182,66.11683461224047,33.48973748387685
19,4,0.16218407357937184,0.17634303409156818,0.25014833274000225,0.0,4287.431372549019,702.6666666666666,50,19,0.62,0.16326530612244897,61.67056856866331,67.24169195117659,38.02184861915312
20,0,0.15826699504400235,0.17252041314849118,0.24112970214785798,0.0,4287.431372549019,677.3333333333334,50,19,0.62,0.08163265306122448,62.994024219719385,65.74533950670362,40.87826944239943
20,1,0.15256503346574643,0.1664077776653289,0.23531009194213592,0.0,4287.431372549019,660.8039215686274,50,20,0.6,0.12244897959183673,67.2813228237423,70.33138773582633,42.276986636790646
