frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
41,0.041,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00041.png,0.0,-0.25,1.5,0.004249572705762172,0.0082924776161765,0.24348258077416207,0.47512396911361926,0.24348258077416207,0.47512396911361926,-0.03775635052328083,-0.09820315058572758
42,0.042,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00042.png,0.0,-0.25,1.5,0.002019600136674643,0.009282725670244534,0.11571456413550125,0.5318610032827601,0.11571456413550125,0.5318610032827601,-0.1277680166386608,0.05673703416914087
43,0.043000000000000003,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00043.png,0.0,-0.25,1.5,0.003033925829337762,0.011316213908642578,0.17383114537678185,0.6483712970324607,0.17383114537678185,0.6483712970324607,0.05811658124128057,0.11651029374970052
44,0.044,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00044.png,0.0,-0.25,1.5,0.0017168902681274772,0.013969457690502986,0.09837056625078873,0.8003909677523913,0.09837056625078873,0.8003909677523913,-0.0754605791259931,0.15201967071993056
45,0.045,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00045.png,0.0,-0.25,1.5,0.0012153040950254128,0.01644253243178754,0.0696317954699221,0.9420877128484041,0.0696317954699221,0.9420877128484041,-0.028738770780866632,0.1416967450960128
46,0.046,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00046.png,0.0,-0.25,1.5,0.000459950296088479,0.015287237977757277,0.026353210751662425,0.8758942165375994,0.026353210751662425,0.8758942165375994,-0.043278584718259676,-0.06619349631080475
47,0.047,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00047.png,0.0,-0.25,1.5,0.0008959080117900927,0.016907440694731508,0.05133174790752911,0.9687249941758519,0.05133174790752911,0.9687249941758519,0.024978537155866686,0.0928307776382525
48,0.048,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00048.png,0.0,-0.25,1.5,0.001176922735882609,0.015987694168566036,0.06743270557906358,0.9160274000047516,0.06743270557906358,0.9160274000047516,0.01610095767153447,-0.052697594171100294
49,0.049,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00049.png,0.0,-0.25,1.5,-0.0011639472644468724,0.013786191363044946,-0.06668926582860332,0.7898905806621831,-0.06668926582860332,0.7898905806621831,-0.1341219714076669,-0.1261368193425685
50,0.05,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00050.png,0.0,-0.25,1.5,-0.0002866001820843952,0.015340828960311324,-0.016420980841116754,0.8789647536579056,-0.016420980841116754,0.8789647536579056,0.05026828498748657,0.08907417299572243
